n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,FALSE,Y_EQ,Estimate,-0.10574495871515066,1.0029012866701223,0.9452495069766319,0.14464494307685516,1.0043159115418916
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,FALSE,Y_EQ,Error,0.042532202973940066,0.018630763060498566,0.06256767341849645,0.026470324936872767,0.02652560629965161
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,FALSE,FALSE,Y_EQ,Estimate,-0.10618736264276488,1.0034907142124352,0.9407219901669511,0.13867173921827153,1.0055267919981083
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,FALSE,FALSE,Y_EQ,Error,0.04184403395587312,0.018635291772197325,0.06322364230984863,0.025387673452873086,0.0265485955014949
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,TRUE,Y_EQ,Estimate,-0.10574495871515066,1.0029012866701223,0.9452495069766319,0.14464494307685516,1.0043159115418916
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,TRUE,Y_EQ,Error,0.042532202973940066,0.018630763060498566,0.06256767341849645,0.026470324936872767,0.02652560629965161
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,FALSE,TRUE,Y_EQ,Estimate,-0.10618736264276488,1.0034907142124352,0.9407219901669511,0.13867173921827153,1.0055267919981083
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,FALSE,TRUE,Y_EQ,Error,0.04184403395587312,0.018635291772197325,0.06322364230984863,0.025387673452873086,0.0265485955014949
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,FALSE,Y_UQ,Estimate,-0.10509015747502744,1.0028388402163926,0.9497672918273057,0.1460104093141642,1.011185579378326
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,TRUE,FALSE,Y_UQ,Error,0.04271978285655735,0.01869445665245037,0.06278279903828696,0.026706856431698883,0.02670716504006534
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,1,FALSE,FALSE,Y_UQ,Estimate,-0.10575762625425353,1.0037288602188184,0.943369415073301,0.14726283703254484,1.0051814352567576
