n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,FALSE,Y_EQ,Estimate,0.05449845625064251,1.0048084880091634,1.06651711721116,0.13660099415985,0.9337945480091274
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,FALSE,Y_EQ,Error,0.04105550366757246,0.017951106114587816,0.041934120679167484,0.02550992435036179,0.024745896923155226
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,FALSE,FALSE,Y_EQ,Estimate,0.05619854487981296,1.0052802830032443,1.06957538899951,0.12364403791800124,0.938718501072927
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,FALSE,FALSE,Y_EQ,Error,0.039541289078174044,0.017998726114982093,0.04217790207303991,0.023357562588116287,0.024878449484109232
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,TRUE,Y_EQ,Estimate,0.05449845625064251,1.0048084880091634,1.06651711721116,0.13660099415985,0.9337945480091274
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,TRUE,Y_EQ,Error,0.04105550366757246,0.017951106114587816,0.041934120679167484,0.02550992435036179,0.024745896923155226
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,FALSE,TRUE,Y_EQ,Estimate,0.05619854487981296,1.0052802830032443,1.06957538899951,0.12364403791800124,0.938718501072927
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,FALSE,TRUE,Y_EQ,Error,0.039541289078174044,0.017998726114982093,0.04217790207303991,0.023357562588116287,0.024878449484109232
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,FALSE,Y_UQ,Estimate,0.05381909717910903,1.004443291517254,1.0624943783144294,0.1375837398402962,0.9417579513437836
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,TRUE,FALSE,Y_UQ,Error,0.041209298769787336,0.018027511101844158,0.04211247933224129,0.02571334866387174,0.024958303354921985
3e3,0,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,4,1,16,FALSE,FALSE,Y_UQ,Estimate,0.055838543622007096,1.005075427702976,1.0647083043920142,0.13959958546252102,0.9334559993686379
