n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,FALSE,Y_EQ,Estimate,0.05124469224742461,0.9852653412667636,0.9795101702256088,0.19701838774330618,0.9831358960438485
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,FALSE,Y_EQ,Error,0.047631729792540066,0.01870250537778047,0.04423840291208325,0.035038569976671256,0.02598949085695205
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,FALSE,Y_EQ,Estimate,0.050714789425999725,0.9857124373722738,0.9743143445056102,0.17814695705751646,0.9889472173586343
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,FALSE,Y_EQ,Error,0.045833005397497247,0.018771221991059246,0.044675457546090196,0.03188646897727233,0.026140374885969847
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,TRUE,Y_EQ,Estimate,0.05124469224742461,0.9852653412667636,0.9795101702256088,0.19701838774330618,0.9831358960438485
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,TRUE,Y_EQ,Error,0.047631729792540066,0.01870250537778047,0.04423840291208325,0.035038569976671256,0.02598949085695205
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,TRUE,Y_EQ,Estimate,0.050714789425999725,0.9857124373722738,0.9743143445056102,0.17814695705751646,0.9889472173586343
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,TRUE,Y_EQ,Error,0.045833005397497247,0.018771221991059246,0.044675457546090196,0.03188646897727233,0.026140374885969847
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,FALSE,Y_UQ,Estimate,0.05242753848817205,0.983360243484053,0.9855838395351371,0.19818423752077494,0.9939470488377735
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,FALSE,Y_UQ,Error,0.04779667511610141,0.018804964863759537,0.04448079184867389,0.03529651006098182,0.02627688987332972
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,FALSE,Y_UQ,Estimate,0.05188289985480588,0.9846291926963746,0.9766662030604689,0.2009730832801636,0.9810812915086441
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,FALSE,Y_UQ,Error,0.04804040622717667,0.018701875470916667,0.04452934407839875,0.0352392514602055,0.025936301087364895
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,TRUE,Y_UQ,Estimate,0.05242753848817205,0.983360243484053,0.9855838395351371,0.19818423752077494,0.9939470488377735
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,TRUE,TRUE,Y_UQ,Error,0.04779667511610141,0.018804964863759537,0.04448079184867389,0.03529651006098182,0.02627688987332972
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,TRUE,Y_UQ,Estimate,0.05188289985480588,0.9846291926963746,0.9766662030604689,0.2009730832801636,0.9810812915086441
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,29,FALSE,TRUE,Y_UQ,Error,0.04804040622717667,0.018701875470916667,0.04452934407839875,0.0352392514602055,0.025936301087364895
