n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,FALSE,Y_EQ,Estimate,-0.025505895423257114,0.9974872307861183,0.9394378885233747,0.4111758878401528,1.022437334382636
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,FALSE,Y_EQ,Error,0.064685232865184,0.01959675187127001,0.06700927667531004,0.06592376557572902,0.027069504486624017
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,FALSE,FALSE,Y_EQ,Estimate,-0.026415668796501996,0.9990800584857225,0.9358699416741466,0.39697449501130216,1.0290010886499446
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,FALSE,FALSE,Y_EQ,Error,0.06382221706656048,0.019668124148702525,0.06785320723120934,0.06382742895766136,0.02724411565368322
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,TRUE,Y_EQ,Estimate,-0.025505895423257114,0.9974872307861183,0.9394378885233747,0.4111758878401528,1.022437334382636
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,TRUE,Y_EQ,Error,0.064685232865184,0.01959675187127001,0.06700927667531004,0.06592376557572902,0.027069504486624017
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,FALSE,TRUE,Y_EQ,Estimate,-0.026415668796501996,0.9990800584857225,0.9358699416741466,0.39697449501130216,1.0290010886499446
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,FALSE,TRUE,Y_EQ,Error,0.06382221706656048,0.019668124148702525,0.06785320723120934,0.06382742895766136,0.02724411565368322
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,FALSE,Y_UQ,Estimate,-0.024391193366218672,0.9954319662546242,0.9534368271394374,0.409632153714925,1.0307112415561732
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,TRUE,FALSE,Y_UQ,Error,0.06463898413776543,0.019675668246268246,0.06727736728443112,0.06572628342834702,0.02728864661719417
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,33,FALSE,FALSE,Y_UQ,Estimate,-0.024814209349851443,0.9976382975213125,0.9480841167154939,0.41009994161306224,1.0240893723459268
