"","n.students","X_PS.cor","X.m","X.sd","M.m","e.m","e.sd","tripleRate","n.schools","u0.m","u0.sd","gen_frm","Bs","est_frm","ICC","CID"
"1","3000","0","0","1","0.1","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","1"
"2","3000","0.25","0","1","0.1","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","2"
"3","3000","0.5","0","1","0.1","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","3"
"4","3000","0","0","1","0.25","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","4"
"5","3000","0.25","0","1","0.25","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","5"
"6","3000","0.5","0","1","0.25","0","1","0.375","100","0","0.42","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.149948996939816","6"
"7","3000","0","0","1","0.1","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","7"
"8","3000","0.25","0","1","0.1","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","8"
"9","3000","0.5","0","1","0.1","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","9"
"10","3000","0","0","1","0.25","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","10"
"11","3000","0.25","0","1","0.25","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","11"
"12","3000","0.5","0","1","0.25","0","1","0.375","100","0","0.577","~1 + X + M + w.u0 + e","c(0, 1, 1, 1, 1)","Y ~ 1 + X + M + (1 | mm1) + (1 | ID)","0.249772493508656","12"
